title,id,activity,creation,status
"offer option to suppress ""clean --all"" output relating to nonexistent dirs",24591,2015-07-08.15:33:18,2015-07-08.15:33:18,1
[Windows] asyncio: support signal handlers on Windows (feature request),23057,2015-07-07.19:33:58,2014-12-15.20:10:56,1
distutils.utils.get_platform() for 32-bit Python on a 64-bit machine,18987,2015-07-07.11:47:10,2013-09-09.13:03:01,1
"containment test for ""ip_network in ip_network""",20825,2015-07-07.11:24:38,2014-03-02.13:18:19,1
raw_input behavior incorrect if readline not enabled,1927,2015-07-07.07:11:05,2008-01-24.20:21:17,1
Providing a custom HTTPResponse class to HTTPConnection,13456,2015-07-07.01:01:38,2011-11-22.19:02:13,1
xml.etree.ElementTree.Element.text does not conform to the documentation,24079,2015-07-07.00:24:48,2015-04-29.23:34:55,1
"Add ""key"" argument to ""bisect"" module functions",4356,2015-07-06.23:54:01,2008-11-19.17:17:27,1
"Can assign [] = (), but not () = []",23275,2015-07-06.23:20:30,2015-01-19.19:05:47,1
"use distutils terminology in ""PyPI package display"" section",17311,2015-07-06.16:49:25,2013-02-27.18:16:17,1
Document asyncio behavior (logging and call to connection_lost) on socket TimeoutError,24577,2015-07-06.15:36:36,2015-07-06.15:14:36,1
timemodule build fail - missing definitions for _Py_BEGIN_SUPPRESS_IPH and _Py_END_SUPPRESS_IPH,24575,2015-07-06.15:04:12,2015-07-06.13:13:16,1
Possible integer overflow in PyCode_New(),18295,2015-07-06.13:51:22,2013-06-24.21:19:05,1
sequence index bug in random.choice,24546,2015-07-05.20:16:49,2015-07-01.16:06:30,1
Speedup types.coroutine(),24325,2015-07-05.18:41:42,2015-05-29.16:23:27,1
test_ssl failure on Fedora 22,23965,2015-07-05.14:02:05,2015-04-15.14:44:02,1
New matmul operator crashes modules compiled with CPython3.4,23020,2015-07-05.10:41:46,2014-12-09.12:31:43,1
Suboptimal stacklevel of deprecation warnings for formatter and imp modules,23810,2015-07-05.01:52:49,2015-03-30.01:54:14,1
shutil.copytree fails when copying NFS to NFS,24564,2015-07-04.21:45:32,2015-07-04.20:05:50,1
SSLSocket extra level of indirection,24334,2015-07-04.20:56:39,2015-05-30.20:37:28,1
the f_lineno getter is broken,24565,2015-07-04.20:42:06,2015-07-04.20:36:38,1
incorrect line numbers in backtrace after removing a trace function,17277,2015-07-04.20:31:42,2013-02-22.16:42:49,1
urllib.parse.urlopen shouldn't ignore installed opener when called with any ca* argument,18543,2015-07-04.17:59:36,2013-07-24.12:26:58,1
threading.Timer is not a class,24256,2015-07-04.17:38:52,2015-05-21.06:29:41,1
Modifications to support iOS as a cross-compilation target,23670,2015-07-04.16:37:18,2015-03-15.06:25:47,1
